id,session_id,trial_index_in_block,block,block_name,stimulus_type,stimulus_label,stimulus_color,correct_key,response_key,correct,timed_out,rt_ms,protocol_version,scoring_version,schema_version,created_at
1,53e557e6-0088-4600-912c-e6875506ba29,1,1,Neutro - circulos coloridos,circle,circulo,Verde,d,s,0,0,911,stroop-victoria-desktop-v1-baseline,rt-pipeline-v1,ensino-schema-v1,2026-04-03 04:22:51.869963+00
2,53e557e6-0088-4600-912c-e6875506ba29,2,1,Neutro - circulos coloridos,circle,circulo,Vermelho,k,k,1,0,965,stroop-victoria-desktop-v1-baseline,rt-pipeline-v1,ensino-schema-v1,2026-04-03 04:22:51.869963+00
3,53e557e6-0088-4600-912c-e6875506ba29,3,1,Neutro - circulos coloridos,circle,circulo,Amarelo,l,l,1,0,460,stroop-victoria-desktop-v1-baseline,rt-pipeline-v1,ensino-schema-v1,2026-04-03 04:22:51.869963+00
4,53e557e6-0088-4600-912c-e6875506ba29,4,1,Neutro - circulos coloridos,circle,circulo,Verde,d,d,1,0,569,stroop-victoria-desktop-v1-baseline,rt-pipeline-v1,ensino-schema-v1,2026-04-03 04:22:51.869963+00
5,53e557e6-0088-4600-912c-e6875506ba29,5,1,Neutro - circulos coloridos,circle,circulo,Vermelho,k,k,1,0,400,stroop-victoria-desktop-v1-baseline,rt-pipeline-v1,ensino-schema-v1,2026-04-03 04:22:51.869963+00
6,53e557e6-0088-4600-912c-e6875506ba29,6,1,Neutro - circulos coloridos,circle,circulo,Amarelo,l,l,1,0,522,stroop-victoria-desktop-v1-baseline,rt-pipeline-v1,ensino-schema-v1,2026-04-03 04:22:51.869963+00
7,53e557e6-0088-4600-912c-e6875506ba29,7,1,Neutro - circulos coloridos,circle,circulo,Amarelo,l,l,1,0,478,stroop-victoria-desktop-v1-baseline,rt-pipeline-v1,ensino-schema-v1,2026-04-03 04:22:51.869963+00
8,53e557e6-0088-4600-912c-e6875506ba29,8,1,Neutro - circulos coloridos,circle,circulo,Verde,d,d,1,0,446,stroop-victoria-desktop-v1-baseline,rt-pipeline-v1,ensino-schema-v1,2026-04-03 04:22:51.869963+00
9,53e557e6-0088-4600-912c-e6875506ba29,9,1,Neutro - circulos coloridos,circle,circulo,Azul,s,s,1,0,406,stroop-victoria-desktop-v1-baseline,rt-pipeline-v1,ensino-schema-v1,2026-04-03 04:22:51.869963+00
10,53e557e6-0088-4600-912c-e6875506ba29,10,1,Neutro - circulos coloridos,circle,circulo,Verde,d,d,1,0,502,stroop-victoria-desktop-v1-baseline,rt-pipeline-v1,ensino-schema-v1,2026-04-03 04:22:51.869963+00
11,53e557e6-0088-4600-912c-e6875506ba29,11,1,Neutro - circulos coloridos,circle,circulo,Azul,s,s,1,0,584,stroop-victoria-desktop-v1-baseline,rt-pipeline-v1,ensino-schema-v1,2026-04-03 04:22:51.869963+00
